H,NEL,NI,TA
27650.0,2.16946e+008,2.16946e+008,1.27617e+006
27700.0,2.16678e+008,2.16678e+008,1.27684e+006
27750.0,2.16409e+008,2.16409e+008,1.27751e+006
27800.0,2.16141e+008,2.16141e+008,1.27818e+006
27850.0,2.15872e+008,2.15872e+008,1.27885e+006
27900.0,2.15604e+008,2.15604e+008,1.27951e+006
27950.0,2.15335e+008,2.15335e+008,1.28018e+006
28000.0,2.15067e+008,2.15067e+008,1.28085e+006
28050.0,2.14798e+008,2.14798e+008,1.28152e+006
28100.0,2.14530e+008,2.14530e+008,1.28219e+006
28150.0,2.14262e+008,2.14262e+008,1.28286e+006
28200.0,2.13993e+008,2.13993e+008,1.28352e+006
28250.0,2.13725e+008,2.13725e+008,1.28419e+006
28300.0,2.13456e+008,2.13456e+008,1.28486e+006
28350.0,2.13188e+008,2.13188e+008,1.28553e+006
28400.0,2.12919e+008,2.12919e+008,1.28620e+006
28450.0,2.12651e+008,2.12651e+008,1.28687e+006
28500.0,2.12382e+008,2.12382e+008,1.28754e+006
28550.0,2.12114e+008,2.12114e+008,1.28820e+006
28600.0,2.11845e+008,2.11845e+008,1.28887e+006
28650.0,2.11577e+008,2.11577e+008,1.28954e+006
28700.0,2.11309e+008,2.11309e+008,1.29021e+006
28750.0,2.11040e+008,2.11040e+008,1.29088e+006
28800.0,2.10772e+008,2.10772e+008,1.29155e+006
28850.0,2.10503e+008,2.10503e+008,1.29221e+006
28900.0,2.10235e+008,2.10235e+008,1.29288e+006
28950.0,2.09966e+008,2.09966e+008,1.29355e+006
29000.0,2.09698e+008,2.09698e+008,1.29422e+006
29050.0,2.09429e+008,2.09429e+008,1.29489e+006
29100.0,2.09161e+008,2.09161e+008,1.29556e+006
29150.0,2.08892e+008,2.08892e+008,1.29623e+006
29200.0,2.08624e+008,2.08624e+008,1.29689e+006
29250.0,2.08356e+008,2.08356e+008,1.29756e+006
29300.0,2.08087e+008,2.08087e+008,1.29823e+006
29350.0,2.07819e+008,2.07819e+008,1.29890e+006
29400.0,2.07550e+008,2.07550e+008,1.29957e+006
29450.0,2.07282e+008,2.07282e+008,1.30024e+006
29500.0,2.07013e+008,2.07013e+008,1.30090e+006
29550.0,2.06745e+008,2.06745e+008,1.30157e+006
29600.0,2.06476e+008,2.06476e+008,1.30224e+006
29650.0,2.06208e+008,2.06208e+008,1.30291e+006
29700.0,2.05939e+008,2.05939e+008,1.30358e+006
29750.0,2.05671e+008,2.05671e+008,1.30425e+006
29800.0,2.05402e+008,2.05402e+008,1.30492e+006
29850.0,2.05134e+008,2.05134e+008,1.30558e+006
29900.0,2.04866e+008,2.04866e+008,1.30625e+006
29950.0,2.04597e+008,2.04597e+008,1.30692e+006
30000.0,2.04329e+008,2.04329e+008,1.30759e+006
30050.0,2.04060e+008,2.04060e+008,1.30826e+006
30100.0,2.03792e+008,2.03792e+008,1.30893e+006
